ticid,observe_kpf,observe_neid,toi,tess_mag,num_pc,ra,dec,epoch,period,planet_radius,planet_insolation,planet_eqtemp,stellar_distance,stellar_teff,stellar_logg,stellar_radius,mass,mh,v_mag,vsini,t_sec_kpf,observed_in_2025b,observed_in_2026a,observed_in_2027a,observed_in_2027b
389070884,True,False,911.01,7.9771,1,262.335243,-38.645969,2458627.859,8.584182186,21.40456493,332.3230715,1088.954848,84.7758,5963.0,4.438,1.447080016,1.09,,8.501,4.435429099,120,,,,
39858507,True,False,3460.01,8.82719,1,255.920846,-30.770097,2459378.778,4.6288384,17.2704,4580.01,2291.0,205.426,5978.9,3.89,2.22,1.375,,9.43,5.352172705,120,,,,
190990336,True,False,585.01,8.9544,1,134.373008,-39.778423,2460009.617,5.547255,19.6103,1064.826173,1456.932492,157.612,6118.1,4.29,1.66,1.34,,9.881,5.509972175,120,,,,
129637892,True,False,155.01,9.0284,1,321.11498,-37.850181,2460168.814,5.4499753,5.28759,839.203,1499.0,187.131,6220.5,3.99,1.79,1.35,,9.56,7.336504473,120,,,,
469782185,True,False,1123.01,10.2398,1,292.391505,-37.304009,2458658.041,1.20928,15.1764,,,161.932,5159.8,4.23,1.27,0.96,,11.04,1.98159887,120,,,,
134404603,True,False,609.01,9.836,1,122.339812,-39.164589,2460007.604,4.9699991,21.4073,112.974,908.0,144.623,5759.0,4.3,1.19,1.03,,10.62,3.427964818,120,,,,
14091704,True,False,445.01,9.1577,1,77.323576,-36.591034,2459199.549,0.7649571,12.9538,12939.9,2971.0,176.617,6307.9,3.97,1.65,1.21,-0.38,9.58,8.455680353,120,,,,
170729775,True,False,2449.01,9.8999,1,67.984371,-34.455533,2459186.902,16.6542431,11.9082,362.642,1215.0,156.786,6054.0,4.43,1.08,1.13,,10.402,5.027232638,120,,,,
47617161,True,False,1973.01,10.7565,1,220.4268,-33.826133,2459354.671,3.9194733,,132.064,944.0,204.984,5149.0,4.35,,,,11.379,1.967754985,120,,,,
3728481,True,False,6561.01,10.1676,1,245.224446,-38.690224,2460089.817,3.1739329,15.5264,68.2123,800.0,360.452,4999.0,,3.95,,,11.2,3.432017484,120,,,,
79605791,True,False,4416.01,9.5378,1,251.780014,-39.947307,2459378.526,9.3305377,15.2895,299.515,1158.0,236.604,6238.0,3.94,1.96,1.21,,10.14,7.539219143,120,,,,
106940971,True,False,4425.01,9.3777,1,264.841449,-35.391821,2460100.181,5.412802,11.01710437,776.5799485,1346.375787,175.367,6468.0,4.22,1.473639965,1.32,,9.856492376,9.484695749,120,,,,
57093805,True,False,3344.01,10.9308,1,272.450977,-31.891545,2458678.654,3.2229781,14.58,2054.13,1875.0,248.097,5488.0,4.2,1.29,0.962,,11.55,2.571587396,120,,,,
404610583,True,False,5966.01,10.5332,1,336.147609,16.878856,2459826.813,3.538103874,12.0728557,591.3277978,1257.699312,202.773,6084.0,4.45887,1.042440057,1.14,,11.01,5.245856489,120,,,,
29119552,True,False,1709.01,10.2061,1,118.629831,45.807841,2459597.198,7.6288424,18.0261,338.345,1194.0,268.655,6157.0,4.1,1.6,1.171,,10.9,5.832918707,120,,,,
12036590,True,False,2598.01,10.9766,1,91.233761,-1.134248,2459226.801,5.73436,21.0528,19.8561,588.0,107.256,4405.0,4.41,0.86,0.689,,12.1727261,1.462442049,120,,,,
232941965,True,False,5882.01,10.6338,1,311.888638,34.737492,2459818.905,7.1487697,14.1861,4792.5,2317.0,416.104,5706.0,3.7,2.35,1.017,,11.31,4.255786314,120,,,,
432280671,True,False,6012.01,10.5418,1,355.02941,32.015761,2459861.659,16.21176286,7.282603577,101.5736987,809.6830845,226.572,6119.0,4.35436,1.183429956,1.155,,11.01,5.517177386,120,,,,
186936449,True,False,2665.01,10.3716,1,134.15896,-34.628475,2460009.765,2.8456505,6.4972,758.965,1462.0,222.0,6112.0,4.27,1.3,1.15,,11.02,5.461460267,120,,,,
85429139,True,False,4015.01,10.767,1,53.419992,68.612667,2459738.474,4.7427131,17.876,320.783,1179.0,309.161,5947.0,4.12,1.51,1.087,,11.21,4.341546303,120,,,,
13533330,True,False,3686.01,11.2381,1,36.900563,59.952721,2459884.347,5.077806418,14.93431837,340.2177584,1095.365339,255.803,5262.0,4.2,1.243469954,0.901,,12.0,2.127675622,120,,,,
121966220,True,False,1688.01,10.8001,1,75.797813,41.785784,2459914.901,6.717191254,22.87565797,1148.701129,1484.812146,472.704,5843.0,3.7177,2.352900028,1.054,,11.22,4.702672139,120,,,,
393633044,True,False,4029.01,11.1718,1,239.233719,16.980285,2459711.649,5.8850401,6.61503,282.509,1142.0,274.436,5712.4,4.3,1.18,1.018,0.10068,11.55,3.247654909,120,,,,
138727432,True,False,853.01,10.7598,1,32.914289,-37.892988,2459139.838,6.8646554,17.29,1640.28,1772.0,287.558,5937.0,4.19,1.38,1.08,,11.29,4.284302462,120,,,,
284206913,True,False,3972.01,10.7486,1,9.305074,61.205097,2459903.239,10.511362,11.935,61.3806,779.0,162.569,5908.0,4.54,0.92,1.074,,11.35,4.124315511,120,,,,
287591638,True,False,3585.01,11.2287,1,326.807138,34.646627,2459851.899,3.5410781,4.63661,112.33,906.0,130.802,4652.0,4.48,0.82,0.74,,12.223,1.559724465,121,,,,
207339000,True,False,4427.01,11.3427,1,135.049261,72.147747,2459940.464,4.618263145,13.39761617,204.8121523,964.8475089,198.251,5328.0,4.50337,0.8892179728,0.919,,12.08,2.238254578,129,,,,
181748381,True,False,6261.01,10.4441,1,132.055241,-39.686292,2460013.717,5.4920894,8.83359,265.101,1124.0,267.542,6090.0,4.12,1.53,1.14,,11.2,5.291096632,131,,,,
229888286,True,False,2057.01,10.7165,1,226.116513,28.215715,2459707.62,5.5986627,9.34167,724.387,,255.849,6081.3,,1.84,,0.254591,11.11,6.033599087,131,,,,
345645749,True,False,4041.01,10.9342,1,246.855462,21.616792,2459731.379,7.8808589,10.2354,289.546,1149.0,311.111,5914.8,4.17,1.41,1.077,0.28,11.49,4.161042412,135,,,,
197743152,True,False,6191.01,11.4105,1,337.043134,49.57365,2459880.418,3.7752321,10.759,96.9264,874.0,303.581,5585.0,4.26,1.22,0.986,,11.97,2.82892678,136,,,,
250839071,True,False,6040.01,9.8781,1,34.445951,53.807582,2459905.802,3.4925674,15.7585,1792.0,1812.0,,6558.7,,1.8,,0.11,10.34730486,10.0,137,,,,
117689799,True,False,3504.01,11.6006,1,300.735006,24.435135,2459771.875,2.157046174,14.59492431,1041.32495,1448.82629,299.999,5863.0,4.42,1.045349956,1.06,,11.6,3.892871732,138,,,,
258234731,True,False,6106.01,11.646,1,127.019217,-24.166962,2459964.625,6.424094404,14.83622611,212.2599833,973.5018496,294.59,5618.0,4.39959,1.040060043,0.99,,12.0,2.927859625,141,,,,
229285649,True,False,2591.01,10.7669,1,98.024193,11.852283,2459544.882,8.493027,20.982,246.718,1104.0,316.228,6287.0,4.23,1.41,1.23,,10.99,7.102947849,141,,,,
439366538,True,False,2374.01,11.2057,1,319.498241,-22.049823,2458326.555,4.31362,8.01917,54.2011,755.0,134.655,4929.5,0.1,0.8,0.773,,12.09279868,3.408672021,141,,,,
37291237,True,False,5057.01,11.0837,1,254.842052,-35.388933,2459385.83,1.1437772,12.9975,548.925,1348.0,347.227,4520.0,,2.85,,,12.20216819,3.334526749,142,,,,
150761163,True,False,4124.01,11.436,1,279.258065,14.206599,2459762.989,3.4138019,22.5559,309.683,1168.0,512.0308,5150.0,,2.24,,,12.05,3.501488915,143,,,,
387259626,True,False,1455.01,10.1543,1,308.670288,66.440384,2460388.285,3.6231429,18.4111,485.19,1307.0,245.692,6458.8,4.32,1.35,1.378,,10.54,9.342870431,144,,,,
452508760,True,False,5938.01,11.3519,1,303.908842,28.659226,2459820.183,2.260431,3.92152,249.273,1106.0,114.035,4452.0,4.54,0.74,0.698,,12.5155739,1.477615538,148,,,,
408114363,True,False,2450.01,11.4894,1,77.952525,6.795745,2459179.177,17.88324141,6.417116403,27.12795111,582.0683673,188.967,5426.0,4.63305,0.776644,0.945,,12.17798651,2.430280733,150,,,,
281100535,True,False,5687.01,11.536,1,228.974876,10.461265,2459716.985,2.924439,8.56554,81.7751,837.0,153.891,4803.0,4.56,0.77,0.776,-0.14,12.48743451,1.646028561,156,,,,
88902249,True,False,2336.01,10.1757,1,230.230416,-33.69246,2459359.048,7.7119328,10.9933,305.979,1165.0,297.716,6458.0,4.03,1.83,1.31,,10.76,9.330654555,164,,,,
409594381,True,False,4214.01,11.0071,1,110.24951,-13.926265,2459248.541,3.491383,11.154,555.531,1352.0,346.881,5936.5,4.28,1.59,1.044,,11.79,4.28146872,165,,,,
58461209,True,False,3118.01,11.4553,1,201.376867,-28.413642,2458594.48,3.8098324,10.3911,618.962,1389.0,423.105,5406.0,3.91,1.78,0.94,,12.138,3.71262301,168,,,,
233823679,True,False,4478.01,11.4682,1,303.549181,54.694405,2459819.788,2.7586362,7.78435,787.087,1475.0,296.293,5774.0,4.32015,1.17,1.035,,12.09,3.489484304,172,,,,
202283090,True,False,6218.01,11.702,1,5.111293,48.767772,2459878.346,5.1570194,12.0548,50.6137,743.0,159.96,4476.1,4.38,0.89,0.702,-0.169,12.84941824,1.485937634,176,,,,
327369524,True,False,6016.01,11.3864,1,4.52396,59.766198,2459877.793,4.0236805,14.9702,606.797,1382.0,364.715,5807.0,4.06406,1.57,1.044,,12.101,3.631160094,177,,,,
76706043,True,False,6612.01,11.7332,1,229.294897,-33.969293,2460092.287,2.3207203,14.0426,135.481,950.0,180.958,4390.0,4.12,1.2,0.69,,12.93989419,1.4578778,179,,,,
397763985,True,False,5765.01,11.5437,1,6.844544,70.805696,2459908.636,3.8779743,9.43,549.351,1348.0,371.785,5798.0,4.06,1.57,1.041,,12.13115745,3.59163615,180,,,,
238624131,True,False,3628.01,11.6203,1,12.866044,47.662806,2459879.232,3.4945148,11.03,362.88,1215.0,332.852,5699.0,4.29,1.2,1.01,,12.23125761,3.198693538,181,,,,
58858008,True,False,6842.01,11.5955,1,20.636935,13.352227,2460209.339,5.392095501,18.24523871,534.3923671,1226.266351,399.765,5752.18,4.14674,1.419330001,1.03,0.007,12.19354801,3.400568533,182,,,,
158617175,True,False,3910.01,12.0581,1,223.609501,59.101988,2459686.227,5.7158895,12.3206,76.4949,823.0,245.248,5224.0,4.56,0.82,0.89,,12.677,2.070023718,186,,,,
467580267,True,False,3668.01,11.2959,1,48.218476,35.093455,2459908.643,0.7415247,13.5277,2304.37,1930.0,647.3,5921.0,3.6,2.73,1.08,,11.94,5.045042809,188,,,,
141205978,True,False,3862.01,11.7201,1,185.900563,50.544625,2459662.739,1.5574603,6.15317,358.839,1212.0,249.02,5564.4,4.46,0.93,0.92,,12.458,2.770240567,191,,,,
336840314,True,False,4085.01,11.9705,1,281.83562,26.417834,2459744.048,2.828532345,10.37797722,504.0504139,1208.476594,290.594,5257.0,4.37,1.025859952,0.899,,12.71768193,2.119849935,191,,,,
44631965,True,False,1461.01,11.3805,1,22.236394,35.864854,2458767.317,3.568677658,20.25037509,876.963913,1387.922385,359.959,6046.0,4.26929,1.28529,1.12,,11.95,4.971007099,192,,,,
233953967,True,False,1350.01,10.3589,1,305.395161,56.462656,2459851.288,5.5402372,17.4013,2282.41,1925.0,598.635,6415.0,3.49,3.39,1.291,,11.03,10.0,192,,,,
461591646,True,False,2155.01,10.9939,1,5.800269,84.452839,2459913.984,3.7246883,10.8811,686.503,1426.0,416.077,6144.0,4.02,1.74,1.17,,11.73,5.722327045,193,,,,
45655786,True,False,2809.01,10.9095,1,149.034708,-38.088834,2459989.989,3.166084883,10.33340503,916.3847298,1403.26344,308.013,6225.0,,1.337700009,,,11.41,7.387686197,194,,,,
160390955,True,False,3568.01,12.0729,1,322.602368,34.739581,2459799.383,4.417804239,6.4020317,130.1481354,861.4483375,197.906,4864.0,4.55,0.7857990265,0.792,,12.977,1.688549788,194,,,,
436314778,True,False,3569.01,11.0161,1,307.013306,26.401654,2459823.594,4.5956692,14.2314,485.021,,284.927,6157.0,,1.3,,,11.57,6.678997568,195,,,,
255928426,True,False,5686.01,12.012,1,247.460912,37.69456,2459738.846,4.2366102,15.6978,351.913,1206.0,394.427,5407.5,4.19,1.28,0.94,0.407276,12.65,2.391241499,195,,,,
123357034,True,False,4129.01,11.8417,1,281.527275,46.248566,2459744.309,3.2724973,5.6778,44.1281,718.0,130.284,4279.0,4.51,0.75,0.669,-0.004,13.12983746,1.427858134,197,,,,
409009431,True,False,4726.01,12.1022,1,92.729819,-13.166915,2459223.153,4.2971136,14.1426,166.22,1000.0,250.87,5203.0,4.53,0.85,0.88,,12.86996723,2.039904643,198,,,,
124453339,True,False,3106.01,11.8817,1,198.648685,-30.722726,2459331.915,1.485163,8.99362,867.237,,288.3,5506.2,,1.28,,0.260796,12.402,3.846259625,204,,,,
195093356,True,False,5226.01,11.8572,1,313.339745,37.475083,2459432.674,7.8284207,17.0783,275.376,1134.0,296.602,5707.0,4.5,0.94,1.017,,12.46617226,3.227774133,215,,,,
286355915,True,False,1637.01,10.6479,1,37.893241,34.368925,2459885.666,4.076683952,17.52231816,1443.088339,1571.965386,374.442,6531.44,4.13711,1.643020034,1.35,-0.356,11.09,10.0,220,,,,
399868187,True,False,2473.01,10.5347,1,74.374979,10.416737,2459199.203,1.2311781,17.567,27258.8,3579.0,284.183,6589.1,4.21,1.53,1.373,-0.097,11.08,10.0,225,,,,
437144507,True,False,3418.01,11.8994,1,123.274547,-23.053372,2459963.752,7.303986886,,184.0529207,939.4105386,,5308.5,,,,,12.584,3.614044397,227,,,,
291016451,True,False,5448.01,12.1629,1,169.995604,8.350262,2459547.932,3.214031,6.77869,284.023,1143.0,277.019,5366.0,4.55,0.85,0.93,0.225,12.87130726,2.308501977,229,,,,
313408643,True,False,3533.01,11.9114,1,308.562722,35.395056,2459823.894,4.3167817,,192.446,1037.0,,5276.4,,,,,12.65141254,3.587049412,244,,,,
282935857,True,False,5276.01,11.7163,1,313.175021,25.502871,2459444.189,2.3612205,13.5272,875.429,1515.0,749.716,5766.0,3.59,2.7,1.03,,12.31110264,4.430634623,250,,,,
857186,True,False,5288.01,12.2037,1,327.719173,-8.635946,2459465.892,3.8123614,11.0835,138.253,955.0,215.501,4780.0,4.5,0.82,0.771,,13.167493,1.631232756,264,,,,
408137826,True,False,941.01,10.9968,1,78.300525,6.545915,2459198.275,8.5145626,6.95626,166.575,1000.0,263.386,5920.0,4.32,1.18,1.078,,12.33,4.189449612,267,,,,
81247877,True,False,3915.01,12.3655,1,205.488716,17.300066,2459688.492,2.2012625,13.6145,387.574,1236.0,275.019,5177.8,4.56,0.81,0.878,0.134422,13.113,2.005312747,285,,,,
423903685,True,False,6143.01,12.266,1,329.69363,22.952813,2459845.511,4.0938735,20.6029,695.416,1430.0,546.747,5489.0,4.04,1.55,0.96,,12.93488947,2.574005709,285,,,,
262880826,True,False,3966.01,12.0753,1,225.380859,38.533274,2459684.286,3.9967263,11.278,265.248,1124.0,,5313.6,,1.0,,0.416,12.77,3.618561123,289,,,,
444558604,True,False,4079.01,12.1484,1,19.980843,64.538054,2459882.628,1.9872259,15.6112,1292.25,1670.0,360.76,6178.0,4.44,1.08,1.18,,12.043,6.017438862,294,,,,
58474992,True,False,6921.01,12.1157,1,65.839526,24.897315,2460195.28,25.714253,15.8297,45.1202,722.0,232.791,5677.8,4.58,0.86,1.01,-0.687,12.73199422,3.123733983,295,,,,
96074951,True,False,3737.01,11.4963,1,72.427173,35.301657,2459912.416,5.5609997,15.2954,424.633,1264.0,324.005,5863.0,4.07,1.58,1.06,,12.49,3.892871732,299,,,,
336691874,True,False,5322.01,12.0075,1,6.529337,14.336428,2459872.581,5.4233428,16.7305,558.524,1354.0,476.899,5790.0,4.15,1.43,1.04,,12.59677176,3.557066674,300,,,,
317252733,True,False,3735.01,11.3032,1,55.590143,58.295332,2459912.078,3.352684333,11.11022066,643.2144362,1284.424838,278.597,6245.0,4.51,1.015759945,1.211,0.037,11.957,6.657867483,308,,,,
220068921,True,False,2369.01,12.1227,1,83.913807,4.82797,2458489.438,3.36376,10.7493,705.699,1435.0,418.29,5713.3,4.24,1.27,1.02,0.504,12.7301197,3.250988248,308,,,,
233720539,True,False,1815.01,10.8946,1,276.379287,63.488103,2459854.633,2.555332,20.5128,4328.46,2259.0,617.233,6454.0,3.77,2.48,1.31,,11.33,10.0,313,,,,
281118572,True,False,5834.01,12.231,1,294.34447,6.680285,2459792.713,3.5242025,12.31,60.7404,777.0,178.827,4485.0,4.5,0.78,0.704,,13.37248042,1.489108574,319,,,,
354742440,True,False,6315.01,12.0193,1,6.18687,58.468546,2459906.723,4.4532909,13.8211,1510.03,1736.0,751.084,5613.0,3.49,2.97,0.99,,12.65259973,4.036665828,323,,,,
52280468,True,False,472.01,12.3123,1,99.86703,-33.540223,2459226.784,0.5682596,24.8489,138.045,954.0,,3294.0,4.438,0.5,0.500534,,14.756,1.319676427,360,,,,
102713734,True,False,2580.01,10.8064,1,62.199207,67.116526,2458839.453,3.397862,18.3834,2031.47,1870.0,379.253,6590.0,4.05,1.83,1.373,,11.399,10.0,360,,,,
239628993,True,False,3553.01,11.0414,1,325.603811,29.869375,2459825.771,1.941063464,11.82312275,2216.780556,1750.049873,398.925,6497.2,,1.463359952,,-0.051,11.46,10.0,365,,,,
18373995,True,False,4617.01,12.357,1,71.022672,22.567602,2459474.422,3.487875375,16.8851071,706.3971426,1314.867476,333.973,5752.44,4.27789,1.220409989,1.03,0.254,12.95498654,3.401606471,379,,,,
32260988,True,False,5684.01,12.4344,1,233.688677,-9.344444,2459716.553,1.1000285,16.0194,1114.93,1609.0,340.9,5644.0,4.53,0.9,1.0,,13.05943239,3.010295287,381,,,,
318796593,True,False,2886.01,11.7858,1,110.007657,-10.569841,2459251.74,1.6020002,18.6498,2118.49,1890.0,413.673,6141.0,4.33,1.22,1.164,,12.30801756,5.697191485,384,,,,
37150278,True,False,5692.01,12.5806,1,232.046386,-10.555269,2459717.173,1.6929628,12.4331,384.155,1233.0,306.397,5250.0,4.42,0.97,0.898,,13.33039792,2.109018122,390,,,,
77951245,True,False,450.01,12.4258,1,79.005088,-31.412694,2459182.487,10.71486613,14.03755399,3.154150152,339.8915287,53.5063,3054.0,4.438,0.422267,0.416374,,15.295,1.312471192,392,,,,
1870990135,True,False,3514.01,12.8953,1,295.556776,32.614099,2459445.483,1.5039495,17.3816,1141.17,1619.0,413.169,5623.0,4.54,0.95,1.0,,13.119,2.943397982,399,,,,
95574586,True,False,5847.01,11.8895,1,295.850508,3.031456,2459795.999,2.5641981,6.33611,2863.8,,351.781,6014.0,,1.23,,,12.43318228,5.564103982,400,,,,
289895191,True,False,3583.01,12.066,1,315.8822,48.687895,2460369.888,5.246250123,,286.1260306,1048.960397,,3882.0,,,,,13.665,3.305785382,403,,,,
9136777,True,False,6356.01,11.8848,1,67.605011,56.394465,2459930.555,3.7799201,16.2502,674.743,1419.0,374.605,6121.6,4.38,1.14,1.156,-0.113,12.41011013,5.538061784,405,,,,
272519426,True,False,5693.01,12.169,1,236.518383,4.691983,2459712.634,2.8900249,,8.93236,481.0,,4305.3,,,0.24,,13.43731851,3.318926714,406,,,,
267215820,True,False,5300.01,12.4559,1,356.481137,0.458798,2459470.418,2.2623535,11.9692,131.906,944.0,162.51,4219.0,4.53,0.73,0.66,,13.79048948,1.414082437,411,,,,
271307949,True,False,4766.01,12.6574,1,117.097528,2.111455,2459963.946,1.932657257,10.50883072,484.1155352,1196.346558,300.512,4909.0,4.47,0.8617429733,0.804,,13.55451455,1.723232349,414,,,,
389421473,True,False,2190.01,12.5965,1,311.751171,-38.670656,2459041.22,5.316070436,19.50064686,621.3098726,1273.347128,677.662,5477.0,4.4,1.552270055,1.01,,13.2690551,2.545287016,415,,,,
71268730,True,False,5375.01,12.456,1,113.784894,71.400673,2459580.736,1.721557543,11.48011454,140.2785768,877.7434298,121.333,3865.0,4.62323,0.6334260106,0.614549,,14.10145298,1.358225379,433,,,,
186541435,True,False,4847.01,12.3056,1,132.809802,-31.914744,2459271.911,7.0465721,,27.9177,640.0,,4332.6,,,,,13.5536912,3.320430203,437,,,,
426122503,True,False,5242.01,12.789,1,287.658473,35.4957,2459445.351,2.4038486,11.4754,242.515,1099.0,331.852,5074.0,4.51,0.85,0.849,,13.60982185,1.879068812,437,,,,
165723070,True,False,3907.01,12.8532,1,231.249864,57.815109,2459714.521,1.7213564,10.674,559.726,1355.0,381.744,5072.0,4.42,0.95,0.85,,13.625,1.876872526,440,,,,
274641986,True,False,3545.01,11.5954,1,301.314408,37.349804,2459772.933,3.187208629,21.2058311,2037.664119,1713.574138,567.193,6578.0,4.14,1.641569972,1.37,,11.71,10.0,440,,,,
229811538,True,False,768.01,12.2864,1,198.635626,-24.14419,2459316.292,11.5294381,18.7142,149.636,974.0,469.997,5956.0,4.31259,1.15,1.21,,12.888,4.394003979,440,,,,
207439380,True,False,5681.01,12.8086,1,244.780658,55.925243,2459743.02,1.1041295,10.6327,652.193,1407.0,336.074,4974.0,4.46,0.88,0.822,,13.67448927,1.778866243,444,,,,
97825640,True,False,2989.01,12.7103,1,171.231675,-27.062362,2459302.225,3.1228396,13.4539,86.7639,850.0,195.795,4262.0,4.49,0.77,0.666,,13.95,1.4237943,444,,,,
247172524,True,False,5878.01,12.8056,1,313.931272,29.818541,2459820.872,3.4363074,14.7953,274.056,1133.0,350.804,5213.0,4.53,0.85,0.89,,13.56948452,2.054097234,446,,,,
341299943,True,False,5905.01,12.8127,1,311.466288,13.840621,2459822.0,3.0233509,11.3795,201.365,1049.0,296.925,4881.0,4.5,0.84,0.797,,13.72374815,1.701304832,448,,,,
67566164,True,False,4196.01,12.5345,1,16.001037,-31.68549,2458404.327,3.125924,17.3686,600.297,1378.0,560.078,5828.0,4.28,1.24,1.05,,13.101,3.726053925,452,,,,
420268415,True,False,4436.01,11.8931,1,308.426581,87.009328,2459767.611,1.759056594,20.95778638,5910.485502,2236.276699,621.061,6250.0,3.91912,1.999250054,1.21,,12.23,7.684076889,456,,,,
46772529,True,False,6486.01,12.8397,1,141.722816,-7.579251,2460011.848,10.6332248,15.9854,26.5909,632.0,271.71,4678.0,4.5,0.81,0.746,,13.86083918,1.572877047,458,,,,
420114036,True,False,4162.01,12.095,1,290.391821,73.350122,2459737.854,4.3744258,19.4866,1159.28,1625.0,725.754,6013.0,3.86,2.05,1.11,,12.721,5.557773358,464,,,,
422457210,True,False,6163.01,12.7912,1,351.133548,4.604684,2459843.242,9.9754699,15.8848,60.6571,777.0,442.143,5472.0,4.42,1.0,0.96,,13.46529431,2.533512805,464,,,,
11034516,True,False,5861.01,12.5375,1,297.980126,24.038241,2459771.876,14.3033451,17.1437,72.8052,813.0,432.745,5862.0,4.42,1.05,1.06,,13.11095841,3.887949953,466,,,,
222485202,True,False,5838.01,12.8557,1,284.84062,9.130169,2459791.743,3.5982966,13.0275,43.9473,717.0,218.118,4458.0,4.54,0.75,0.699,,14.01530262,1.479651941,470,,,,
149995163,True,False,3815.01,12.3972,1,109.358531,49.840082,2459604.924,4.8709815,21.2108,611.598,1385.0,790.338,5908.0,3.92,1.87,1.07,,12.949,4.982665407,470,,,,
129107501,True,False,6133.01,11.5102,1,341.854293,37.691036,2459850.634,3.6534344,20.7632,869.445,1512.0,402.816,6364.0,4.3,1.32,1.27,,12.2,8.017163978,471,,,,
244161191,True,False,278.01,13.1672,1,4.883562,-5.911561,2458381.911,0.2990390327,2.515300149,188.0727122,944.4983346,44.397,2955.0,5.13527,0.3006390035,0.277347,,15.94223738,1.310332779,473,,,,
9346507,True,False,3826.01,12.6865,1,149.876935,36.99245,2459632.217,4.9807125,17.2544,231.2,1086.0,470.353,5545.7,4.39,1.04,0.98,0.397938,13.466,2.718920028,478,,,,
389040826,True,False,5511.01,12.8656,1,141.997153,4.213192,2459575.042,4.7174703,5.77392,6.87901,451.0,106.339,3628.0,4.72,0.51,0.51201,,14.7568361,1.337115004,503,,,,
408506314,True,False,6868.01,12.8562,1,3.276119,7.660267,2460227.772,3.4106422,11.8996,804.639,1483.0,708.514,5222.0,3.83,1.89,0.89,,13.61661769,3.54649319,542,,,,
353225230,True,False,5766.01,13.0009,1,253.97902,14.966082,2459742.701,0.5721596,9.61266,3696.08,2172.0,550.385,5560.2,4.33,1.12,0.98,-0.318,13.64885247,2.758554736,544,,,,
315907220,True,False,3606.01,12.6864,1,321.24506,57.666632,2459866.95,9.312167,,118.249,918.0,,3979.0,,,,,14.143,3.30759078,570,,,,
383214426,True,False,5889.01,12.9722,1,311.21156,8.849353,2459823.072,2.4013188,12.4643,118.916,919.0,200.902,4224.0,4.54,0.72,0.661,,14.30285213,1.415171384,606,,,,
352147273,True,False,6225.01,13.104,1,0.485039,35.997774,2459867.416,8.555965,5.09342,4.00885,394.0,83.7373,3376.0,4.79,0.44,0.44118,,15.29255264,1.322993724,607,,,,
375654303,True,False,4034.01,12.5798,1,335.146984,71.767346,2459853.88,1.8020923,17.3634,1870.78,1832.0,745.145,5760.0,3.92,1.85,1.03,,13.344,4.411798626,607,,,,
